おはよう,
ごきげんよう,
こんにちわ,
お疲れ様,
お元気ですか,
今仕事が忙しいので大変です,
今日は何の御用ですか,
ちょっとお会いしたくて来ました,
どんな御用ですか,
最近お顔を拝見していないので会いたくなりました,
そういえばお久しぶりです。今は何をやっているんですか,
仕事ですか,
はいそうです,
今はIT系のお仕事やっています,
ITってどんなお仕事ですか,
ウェブの開発です。主にデザインやってます,
そうですか。お忙しいのでしょうね,
まあ、ぼちぼちやっています。あなたは何をやっていますか,
なんとなく一日が過ぎています,
のんびりされていていいですね,
それでも、何もしていないということではないので一日が早く過ぎます,
なかなかのんびりはできないですね,
仕事は危険はないのですか,
危険はないけど、とにかく忙しい感じです,
調子どう？,
いい感じだよ、そっちは,
どんな感じ？,
このところ忙しかったけど、まあまあ,
最近どうよ？,
忙しいけど、どうにかなっている,
体調はどう,
特に変わらない,
いいよ、でそっちは？,
まあまあ,
また今度ね。,
じゃあね,
じゃああとで。,
またね。お疲れ様,
おかあさん、お腹すいた,
カレーライスが食べたいな,
天丼食べたいな,
食べたいけど、体に悪いよ,
食べすぎは体に悪いよ,
そうだ、食べすぎるより、運動したほうがいいね,
何食べたい,
レストラン行きたいな,
食堂がいいな,
定食屋がおいしいよ,
おいしいもの食べたいな,
おいしいものは何だと思う,
ラーメン食べたいな,
ラーメン太るかな,
それより血圧心配かな,
持病はあるの,
高血圧と糖尿病だけど、食事制限はしてないよ,
食事制限はしたほうがいいんじゃないの,
でも何も食べられなくなっちゃう,
体重は減らさないとだめだね,
若い時とあんまり変わってないよ,
運動もしないと成人病は危ないよ,
食べすぎは危ないね,
ダイエットしても戻っちゃうしね,
それでも体重は減らさないといかんなぁ,
ドライブと食事とどっちが楽しいかなぁ,
まあ、ね,
筋肉運動が成人病にはいいと聞いたけど、どうなんだろう,
適度な運動がいいんじゃない,
できればカレーライス作ってよ,
ラーメンじゃだめ,
カレーでもいいけど、やっぱりカレーライスがたべたい,
しょうがないなぁ、カレー作るか,
どんぶりでもいいかな,
天丼食べようか,
ドライブでも行こうか,
でも外暑いからなぁ,
ドライブも気持ちいいと思うけど,
伊豆でも行こうか,
IT社長とか軽井沢に別荘持っているよなぁ,
箱根もいいなぁ,
軽井沢がいいなぁ,
軽井沢は夏は混むよ,
おはよう,
なかなか のんびり は でき ない です ね,
何かお仕事してるんですか,
大変でしょう,
いやいやウワンは暇ですよ,
じゃ、行こうか,
ラーメンでもいいよ,
太るのはダメかな,
どんぶりも太りそう,
だから暇だよ,
忙しいんじゃないの,
ITって何やってるんだっけ,
毎日、昼寝だよ、暇だから,
釣りは行ったことありますか,
釣りは海風や船で沖に出ると気持ちいいだろうね,
ドライブなんて行くんですか,
食事ってどんなもの食べるんですか,
おいしいものって何かな,
ラーメンはちょっと心配だね,
そうだね。ウワンは糖尿病だからちょっと体重減らさないと,
いい感じだよ,
来年は東京オリンピックだね,
でも、オリンピックは実物見られないんだよ,
いやいや病気だから見られないんじゃなくて、チケットが取れないんだよ,
そうだね、自分で運動するのがいいかもね,
台風の停電が長引いてるね,
停電はITじゃ解決しないんだよ,
運動しても停電は治らないよ,
電柱って知ってる,
いやいや仕事はしているけど、そんなに忙しくはないよ,
明日はお休みです,
ITって、通信やソフトを作って社会をよりよくするお仕事だよ,
お腹すいてるの,
一応、仕事しているよ,
そんなに忙しいわけじゃないよ、定時で帰っています,
暇なときは、ゲームや自転車乗ったり、テレビ見てますよ,
そこまで暇じゃないかも,
そうなんだ、ウワンさんは暇なんだね,
いいお天気ですね,
いい天気ですね,
今度映画行きましょう,
できればドライブ行きたいですね,
エビ天丼好きです,
いい夜だね,
運動って何しようかな,
どこ行くの,
まあ、まあ、って、どこ行きたいの,
山がいい、それとも海がいいですか,
なんだよ何か食べたいの,
じゃ、ラーメン食べに行こうか,
はい,
なんか静かな夜ですね,
そうでもないけど、夜はゆっくりしたいな,
これから食べると太るよ,
出来たかもしれないね,
じゃ、明日は自転車に乗ろうかな,
一緒に行ってくれるの,
釣りは子供のころは行ったけど今はいかないなぁ,
行きたいの,
ドライブって,
じゃ箱根でも行こうか,
そういえば、ウワンは免許は持っているけど、運転できないけどどうする,
ドライブ行こうか,
ラーメンは太るからなあ,
ほんとに食べたいの,
天丼がいいなぁ,
箱根どうやって行くの,
行くんなら電車で行けるところがいいな,
そうね、山のほうが涼しいんじゃない,
それほどでもないよ、明日はお休みだよ,
マラソンすごかったね,
オリンピック出られる人はいいけど、４秒で逃した人はどうなんだろ,
そうかもしれないけど、やっぱりオリンピック出るのは大変なんだなあ,
いやいやウワンさんは無理だと思うよ,
どこ行きたい,
どこ行きたい,
まあまあって、どこよ,
やはり山に行きたいかい,
なんでウオッカカップなんだ、メモリアル,
それにしても競馬は当たらないね,
競馬あてるにはどうしたらいいんだろう,
そうか体調よくないと勘も鈍るよね,
なんだその反応は,
あれ、なんで来たの,
そうだね、マラソンってあんなに過酷なんだね,
来ちゃった,
何が出来たの,
なるほど、各年度の年度代表馬を記念して各レースをやっているんだね,
テレビの競馬中継を見ています,
その辺は楽しみですね,
いやいや今日は雨だよ,
特に用事はないので、のんびりテレビ見ています,
順調だと思います,
牧場で期待を背負って生まれた馬だとお聞きしましたが、いかがでしたか,
ここまでば体が仕上がってくるとは思っていないんじゃないですか,
最後の子はよく走るというオセアグレイトですね,
オセアグレイトは長距離血統なんですよね,
ここで気になるのでライバルの馬はどの馬でしょう,
春活躍した馬はライバルです,
菊花賞へ参加できるよう権利をとってほしいと思います,
調整よく絞れたんですね,
食べよか,
アイスクリーム食べたいな,
アイスクリームおいしいと思うんだけど,
食べるの幸せ,
これ、どう,
あなたとの取引は止める,
なんで,
朝は散歩がいいんじゃない,
だめですだめです,
ラーメンおいしいですか,
ラーメン好きなんだね,
何が心配なの,
うまくいった,
何しに来たの,
体の具合どうですか、辛かったら言ってくださいね,
箱根は車で行くのがいいんじゃない,
電車で行っても簡単かものなあ,
来週のお休みに行こうか,
やっぱり、車で行くか,
今はほとんど車には乗らないから、無理かもなぁ,
なあ、楽しいだろ,
あんまりごちゃごちゃ考えないで遊ぼうよ,
いいお兄さんだったんだろうね,
太りすぎかな,
だからと言って、ごはん抜くのはまずいんじゃないの,
でも、大丈夫人間そんなに簡単に死なないから,
ブルベ走行中、事故ったらどうしたら良いでしょうか,
個人サイクリング同様に身の安全を最優先に処理しましょう。また、同行者は事故者の安全確保に協力しましょう。時間については考慮されます。安全確保時点でブルベカード記載の連絡先に連絡しましょう,
通過チェックを本当にただ通過だけした参加者に証跡がないことを理由に失格処分にしても良いですか？また、どのルールに従って失格にできるのか根拠を教えてください,
失格の対象です。参加者規則第8条「…ショートカットや迂回路を通ってはならない」第９条「チェックポイントでの印の受け取りもれ…失格の対象」と記されてます。http://www.audax-japan.org/aj/archive/,
PCと通過チェックは何が違うのですか,ＰＣは開閉時間内に通過を証明する必要がありますが、通過チェックはルート上を走行しているかの確認のための関門です。通過時間は問われません。
"BRMはRM、RAW,RAAMなどとどこが違うのですか",統括している組織が異なります。AJがRepresentativeになっているのはＢＲＭ（２００ー１０００、ＰＢＰ）とＲＭ（ＰＢＰ除く１２００ｋｍ以上）です。http://www.audax-japan.org/brevet/about_brevet/
股間が擦れて皮がむけるのはどうすればいいですか,経験でだんだんケアできるなどカバーできる部分もありますが、長距離前提で自分にあったサドルの導入やライド技術を磨くようにしましょう。
どうして日本のブルベはスタート後３０分でクローズされるのですか。,
正確には不明です。ただし、推測として単純に日本国内は交通網も発達しており、時間的に遅延が少ないためだ参加者がと思われます。また、主催者的にはブリーフィング必須だという思いがあります。,
ブルベの通過チェックは何をすればいいのですか,
通過チェックは主催者が公式なPC以外にルート上走行を確認するためにチェックする関門です。オープンークローズ時間の指定はありませんが、主催者のチェック確認をしてください。また、シークレットやフォトチェックも同様に定められた証跡を取得して主催者の確認が必要です。,
ブルベのすべてという本を買ったのですが、すべて書かれていますか。,
ブルベを特集する雑誌はほかにも出版されていますが、一冊の本でブルベ全体を表現するのは難しいと思います。そう参考にしながらあなた自身のブルベの挑戦をしてください。,
２４時間で９８０ｋｍ走るのにはどうすればいいですか,
PBPの最速や北海道１２００km、１０００kmの最速は確かに１００km４時間で走っているので、可能な範囲だろうと思います。しかし、ブルベは速さを競うよりもロングライドを楽しむ姿勢が尊重されます。,
ブルベで夜中走っていると眠くないですか,
体調や過労が重なると睡魔に襲われるようです。大声をあげたり、睡魔を跳ね返す想像したりで対処しましょう。しかし、どうしてもぬぐえない睡魔は危険なので重大な事故が発生する前に路肩仮眠などを実施するといいでしょう。無理は禁物です。,
ブルベでプリンは飲み物だというのは本当ですか,
クロサワさんによるとそうらしいです。高カロリーな流動食は補給食として有効なのは確かです。,
最近お尻が痛いんですが、どうしたら良いでしょうか,
お尻痛いのは辛いです。少し慣れてくれば、体幹が向上してポジションを保てるようになるでしょう。しばし我慢です（笑）,
ブルベに参加するにはどうしたら良いでしょうか,
各クラブが主催するブルベをHPに掲載していますので、注意事項等を理解したうえで、申し込んでください。以下のAudaxJapanのhttp://www.audax-japan.org/brm/brm-entry/を参考にしてください。,
ブルベ毎週走っていて疲れませんか,
トレーニングと同様です。ブルベでも一定期間継続して参加すると経験値の上昇があるようです。出来るだけ、２００ｋｍから順次長距離に挑戦することを推奨します。,
ブルベのコース設計で登山道を組込むのはアリですか,
少なくとも林道が含まれることはあります。現在までのところ、長距離にわたっての担ぎが発生するようなコースはないと思います。,
ブルベでダートや砂利道を走ることはありますか,
通常のブルベでもダートや砂利道、砂浜を走ることはあります。最近AJ千葉では盛んにグラベルロードのブルベが開催されています。,
ブルベで使うヘルメットに基準はありますか,
基準は定められていませんが、きちんと装着して走行してください。ヘルメット尾灯も装着しましょう。,
ぶらっと参加出来るブルベはありますか,
山あり渓流ありこのあたりはずうっと下り途中自販機補給もはやお知り合いになれた方と抜きつ抜かれつ前半でとっても足が回る女性もこのあたりで一度追いついてでも先行かれました,
ブルベは若い参加者が少ないのは何故ですか,
経験が大切なスポーツです。でも、最近は若い人が増えています。特に若い女性が増えているようです,
ロングライド行くなら何処が良いかな,
ロングライドは心の問題です。楽しめそうな所へ行きましょう,
どうしても完走したいブルベはどんなブルベですか,
ロングほど完走意欲は高まります。一般的にDNSが一番多く、タイムオーバーを除くと、後半のDNFは少ないです。,
独りでのんびり走れるブルベはありますか,ブルベは基本一人でのんびり走ります。知らない者同士も足が合えばすぐ一緒に走ることもあります。また、PBPなど長距離では集団で走るクラブもあります。
ほんとにフラットなブルベコースはありますか,
BRMのコースは（獲得標高）１０ｍ／（距離）１ｋｍが標準的です。しかし、一部の人はみんなフラットだと言っています。つまり脚力によって平坦の判断がまちまちですが、数値上平坦なのは年明けの小田城があります。,
ブルベ前の天気予報ってどこまで信用してますか,
ブルベの経験者は誰も信じていませんが、特別警報や警報、雨量、そして土砂災害などの情報は注意が必要です。,
いつも走っていて体が壊れませんか,
掌（手根管症候群）や足裏（足底筋膜炎）などを長期的に発症しやすいです。お尻は絶えれば切れても治ります。腰痛や肩凝り、アキレス腱痛も走り方によっては発症しやすいです。長く楽しめる走法や装備を心がけましょう,
ブルベで知らない人と走りますか,
走ります,
スタートまで自走するのは何故ですか,
やっぱ自走が堪えています,
四国ってどんなブルベだったんですか,
四国は平坦ってだれも言ってないかぁでもしんどかったです,
房総半島の海風って辛いよね,
風向きも強さが目まぐるしく変化して、強風潮風なので、飛ばされないように注意しましょう,
峠の上りは暑いし電波入らないでしょ,
はい、予め調査して十分注意して下さおい,
冬の峠の下りは寒くないですか,
夏の山も侮れません。凍傷や低体温症に注意して寒いと感じたら直ぐ装備を変更しましょう。ブルベ装備は寒暖の範囲を広げて装備することを推奨します。,
峠で鹿や動物に会うことはありますか,
日本は自然が豊かだと実感できると思います。譲り合いの精神が大切です。,
峠で鹿にあったらどうすれば良いですか,
ぶつからないように、驚かさないように安全運転を心がけましょう,
ブルベは自己責任で走るとはどういう意味ですか,
ブルベは個人サイクリングです。ランドネの精神を理解して参加してください。http://www.audax-japan.org/brevet/about_brevet/,
初めてでもブルベ完走は出来ますか,
完走できます。経験ある友人と参加したり、２００ｋｍから段階的に参加することを推奨します。各クラブの注意事項をよく読んで、理解して参加してください。身近な経験者にいろいろな話を聞くのもいいと思います。,
ブルベ走行中の食事はどうしたら良いですか,
お腹すいたら食べてください。グルメのために走る人もいますし、そのためにDNFする人もいます。,
ブルベはどんな自転車で参加しても良いのですか,
原付自転車や電動アシスト付きとかは参加できません,
ブルベは自転車レースですか,
レースではありませんが、自分と戦う必要があります,
ブルベ走っていて頭が可笑しくなることはありますか,
参加エントリー時点でおかしいです。あんな距離走ること自体おかしいです？,
足がつったときはどうしたら良いですか,
休憩・ビタミンミネラル補給が回復に有効です。だましだましのんびり走ると、早く回復することもありますｗ,
どうしたらブルベ完走出来ますか,
余計なことを考えずにとにかく走りましょう,
ブルベの完走ってどういう価値があるんですか,
挫けない心を得られます,
ブルベにオススメのタイヤはなんですか,
そんなものはありません。脚力上げる、戦略を練るほうがコスパがいいと思います。ロングだと予備タイヤ持参する人もいますw,
ブルベって美味しいのですか,
参加費、自己責任、自由度高いところが美味しいです。特に脚の速い人はブルベ中も美味しいのですが、ぎりぎり隊もゴール後は格段に美味しいと感じますw,
アオバヒドイってどれくらい酷いのですか,ググったり、Twitter検索してみてください。。。w　アオバヒドイと言うけれど、今年のクラブ毎の完走率（認定数／出走数）を計算すると、アオバより完走率が低いクラブが日本には5つもあるらしいよwww
ブルベは楽しいのですか,
楽しいです,
ブルベでは何故スポークが切れたりクランクが外れたりするんですか,整備不足です。また、ロングライドの時は普段より壊れたり、緩んだりし易いので、不良を検知したら、直ぐ対処しましょう。
夏と冬ブルベを走るんならどの季節が良いですか,
どの季節も季節なりの楽しみ方ができると思います。またブルベでは酷暑の夏もあれば、極寒の夏もあります。,
ブルベ中の夜間走る宿泊はどうするのですか,
参加者個人の戦略に依存します。ホテルを事前に取る人もいますし、仮眠やラブホを利用する人もいます。,
ロングライドするとき疲れるのは足ですか体ですかそれとも心ですか,心が折れますw
DNFを決める瞬間の気持ちはどういうものですか,
一般的にDNSが一番多く、タイムオーバーを除くと、後半のDNFは少ないです。,
ブルベで大切にしていることは何ですか,
ランドネです。,
ブルベ走るとき一番大切にしていることは何ですか,自己に打ち克ち、無事に生還することです。
ブルベマジックって何ですか,
知らず知らずのうちにとんでもない距離や山岳を走破してしまうことです。,
ブルベ走っていて辛いときはどんな時ですか,
事故で友をなくす時ですw,
ブルベは女性一人でも参加出来ますか,
参加できます。経験ある友人と参加したり、２００ｋｍから段階的に参加することを推奨します。各クラブの注意事項をよく読んで、理解して参加してください。身近な経験者にいろいろな話を聞くのもいいと思います。,
走っているときトイレに行きたくなったらどうしますか,
コンビニや公衆トイレで早めに済ませてください,
ブルベでは夜中の峠も越えるんですか,
深夜の峠はほとんど貸し切りで、星が綺麗です。動物やたまに来る車に注意して楽しみましょう,
ブルベ走っているとき自転車が壊れたらどうするのですか,
自分で修理できるようになりましょう。基本誰も助けてくれません。参加者は積極的に互助しましょう,
自走って何ですか,
自転車で発着地点まで走ることです。日本全国陸続きを実感できるでしょう。輪行は。。。他の利用者に注意して利用しましょう,
雪と台風暴風雨と寒さ熱中症などの気象条件では何が嫌いですか,
すべてが楽しみに変換されます。ブルベは完走も大切ですが、これらの要素を戦略や装備、経験で克服するのも一つの醍醐味です。体調や危険リスクを見極めて判断しましょう。,
辛いときは何を考えてますか,
楽しみの一つですね（笑）,
AJ会員のなりかた講座は黙ってAJinfoに転送していいですか？,
